Reference, Quantity, Value, Footprint, Datasheet, Description, Manufacturer, Part Number, Price[1k], Supplier Link, Label, Alternatives
R103 R101 R107 R304 R300 ,5,47k,LoRa_PCIe_GW:rlc_201_smd_small,,"47 kOhms ±5% 0.05W, 1/20W Chip Resistor 0201  Thick Film",Vishay Dale,CRCW020147K0,0.039,https://www.digikey.com/en/products/detail/vishay-dale/CRCW020147K0FKED/1968131,,
R104 R105 ,2,680R,LoRa_PCIe_GW:rlc_201_smd_small,,"680 Ohms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film",Vishay Dale,CRCW0201680R,0.011,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0201680RFNED/1199791,,
R106 ,1,820R,LoRa_PCIe_GW:rlc_201_smd_small,,"820 Ohms ±5% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film",Vishay Dale,CRCW0201820R,0.012,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0201820RJNED/1178449,,
R108 R600 ,2,10R,LoRa_PCIe_GW:rlc_201_smd_small,,"10 Ohms ±5% 0.05W, 1/20W Chip Resistor 0201  Thick Film",Vishay Dale,CRCW020110R0JNED,0.0052,https://www.digikey.com/en/products/detail/vishay-dale/CRCW020147K0FKED/1968131,,
R113 R122 R114 R124 R110 R115 R112 R123 R121 R120 R109 R125 R111 R602 R200 R815 ,16,0R,LoRa_PCIe_GW:rlc_201_smd_small,,"0 Ohms Jumper 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film",Vishay Dale,CRCW02010000Z0ED,0.006,https://www.digikey.com/en/products/detail/vishay-dale/CRCW02010000Z0ED/1178434?s=N4IgTCBcDaIMICU4HUAMZUEZU9QLVQFEAREAXQF8g,,
R116 R117 R601 R206 R203 ,5,4.7k,LoRa_PCIe_GW:rlc_201_smd_small,,"4.7 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film",Vishay Dale,CRCW02014K70FNED,0.011,https://www.digikey.com/en/products/detail/vishay-dale/CRCW02014K70FNED/1199881?s=N4IgTCBcDaIMICU4HUAMZUEYAsBpA7KgGIByAogCIgC6AvkA,,
R201 ,1,47K,LoRa_PCIe_GW:rlc_201_smd_small,,"47 kOhms ±5% 0.05W, 1/20W Chip Resistor 0201  Thick Film",Vishay Dale,CRCW020147K0,0.039,https://www.digikey.com/en/products/detail/vishay-dale/CRCW020147K0FKED/1968131,,
R221 R222 R813 R913 ,4,0R,LoRa_PCIe_GW:rlc_402_smd_small,,CRCW04020000ZSTD,Vishay Dale,CRCW04020000ZSTD,0.014,https://www.digikey.com/en/products/detail/vishay-dale/CRCW04020000ZSTD/1226552,,
R231 R232 ,2,182K,LoRa_PCIe_GW:rlc_201_smd_small,,"182K OHM 1% 1/20W, Thick Film",Vishay Dale,CRCW0201182KFKED,0.039,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0201182KFKED/1968150,,
R330 R208 R805 R809 R807 ,5,1k,LoRa_PCIe_GW:rlc_201_smd_small,,"1k Ohm ±5% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) - Thick Film",Vishay Dale,CRCW02011K00JNED,0.073,https://www.digikey.com/en/products/detail/vishay-dale/CRCW02011K00JNED/1178450,,
R801 R901 ,2,220R,LoRa_PCIe_GW:rlc_201_smd_small,,"220 Ohms ±5% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film",Vishay Dale,CRCW0201220RJNED,0.007,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0201220RJNED/1178444,,
RF1 ,1,Shield Frame,LoRa_PCIe_GW:SMS-458F_Shield,https://leadertechinc.com/wp-content/uploads/2016/03/SMS-458-REV-A.pdf,"RF Shield Frame 1.070 (27.18mm) X 1.540"" (39.12mm)  Surface Mount""",Leader Tech,SMS-458F,1.82,https://www.digikey.com/en/products/detail/leader-tech-inc/SMS-458F/7203557,,
RF2 ,1,Shield Cover,LoRa_PCIe_GW:SMS-458C_Shield_cover,https://leadertechinc.com/wp-content/uploads/2016/03/SMS-458-REV-A.pdf,"RF Shield Cover 1.094 (27.79mm) X 1.564"" (39.73mm) Non-Vented Surface Mount""",Leader Tech,SMS-458C,0.32,https://www.digikey.com/en/products/detail/leader-tech-inc/SMS-458C/7203485,,
U100 ,1,SX1303,LoRa_PCIe_GW:vqfn68_7x7mm,https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/2R000000Hlli/Te0cB6.fNWAPfxRfoFz38R6LOTf3sLAJhD4CpS2RwFc,Digital Baseband Chip for LoRaWAN network gateways,Semtech Corporation,SX1303IMLTRT,20,https://www.digikey.com/en/products/detail/semtech-corporation/SX1303IMLTRT/13419419?s=N4IgTCBcDaIM4A8CMBmADCkBdAvkA,,
U201 ,1,3V3,LoRa_PCIe_GW:UDFN4_1x1mm,,Linear Voltage Regulator IC Positive Fixed 1 Output  300mA 4-UDFN (1.0x1.0),ON Semiconductor,NCP114AMX330TCG,0.079,https://www.digikey.com/en/products/detail/on-semiconductor/NCP114AMX330TBG/6166731,,NCP4586DMU33TCG
U202 ,1,TPS62260DRV,LoRa_PCIe_GW:DRV0006A_V,,Buck Switching Regulator IC Positive Adjustable 0.6V 1 Output 600mA,Texas Instruments,TPS62260DRV,0.85,https://www.digikey.com/en/products/detail/texas-instruments/TPS62260DRVR/1908045,,SY20183LDEC
U300 ,1,STM32L412K,LoRa_PCIe_GW:UFQFPN32_5x5mm,,ARM® Cortex®-M4 series Microcontroller IC 32-Bit 80MHz 128KB Flash,STMicroelectronics,STM32L412KBU6,2.26,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32L412K8U6/10414668,,
U600 ,1,EVA-M8M-0,LoRa_PCIe_GW:LGA43R65P9X9_700X700X116,https://www.u-blox.com/en/docs/UBX-16014189,"GNSS RF Receiver Galileo, GLONASS, GPS 1.575GHz -167dBm",U-Blox,EVA-M8M-0,15.6,https://www.digikey.com/en/products/detail/u-blox/EVA-M8M-0/6150634,,
U800 U900 ,2,SX1250,LoRa_PCIe_GW:vqfn24_4x4mm,https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/2R000000HTAF/wqCYqYPC0Z5rgGvER7_RtmlGeQhc31idv6bvSW4c_FQ,RF TxRx Only  LoRaWAN 150MHz ~ 960MHz ,Semtech,SX1250IMLTRT,2.9,https://www.digikey.com/en/products/detail/semtech-corporation/SX1250IMLTRT/10379521,,
U802 ,1,SKY66423-11,LoRa_PCIe_GW:SKY66420_16P_3x3mm,https://www.skyworksinc.com/-/media/SkyWorks/Documents/Products/2801-2900/SKY66423_11_204566J.pdf,RF Front End 860MHz ~ 930MHz General Purpose 16-MCM (3x3),Skyworks,SKY66423-11,1.4,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/SKY66423-11/9603432,,
U801 U805 ,2,SAW Filter,LoRa_PCIe_GW:QCS5P_1.4x1.1mm,,"915MHz Frequency General Purpose RF SAW Filter (Surface Acoustic Wave) 2.8dB 26MHz Bandwidth 5-SMD, No Lead",Qualcomm & TDK,B39921B4344P810,0.92,https://www.digikey.com/en/products/detail/qualcomm-rf-front-end-rffe-filters/B39921B4344P810/10648494,,
U803,1,SAW Filter,LoRa_PCIe_GW:QCS5P_1.4x1.1mm,,"915MHz Frequency Remote Control RF SAW Filter (Surface Acoustic Wave) 1.7dB 26MHz Bandwidth 5-SMD, No Lead",Qualcomm & TDK,B39921B2625P810,0.92,https://www.digikey.com/en/products/detail/qualcomm-rf-front-end-rffe-filters/B39921B2625P810/13211350,,
Y800 ,1,TCXO,LoRa_PCIe_GW:TCXO_2x1_6mm,,"32MHz TCXO  Oscillator 1.8V  4-SMD, No Lead",NDK,NT2016SA 32MHz END4263A,1,https://www.digikey.com/en/products/detail/ndk-america-inc/NT2016SA-32M-END4263A/8275433,,
